Sluisnaam;lng;lat;Beheerder
Wijnegem middensas;4.538299929982378;51.226600011081004; 
Kwaadmechelen middensas;5.107799925629253;51.09800001074098; 
Hasselt middensas;5.36879992302931;50.940800011296346; 
Hasselt duwvaartsas;5.369299923019634;50.94030001130535; 
sluis Diepenbeek;5.43229992258349;50.93830001118372; 
Parksluizen;4.463799934522374;51.90730000683979;HBDR Rotterdam nv
sluis Born;5.798099920579545;51.03540000964482;RWS Zuid-Nederland
Woerdense Verlaat;4.862999933848752;52.153100004256395;HHRS De Stichtse Rijnlanden
Vechtsluis;5.053999932512884;52.127600003906636;HHRS Amstel, Gooi en Vecht
Stad en Lande;6.581199932465;53.250199991726944;WS Noorderzijlvest
sluis Heel;5.918999920555616;51.17530000832528;RWS Zuid-Nederland
Kralingse Verlaat;4.503399934469482;51.9344000065702; 
Zuidersluis Hilversum;5.122099932773052;52.2213000031121; 
sluis Montfoort;4.947899932583305;52.046200004710805; 
Berg en Broekse Verlaat;4.489899934625701;51.94620000653398; 
Slotermeerschutsluis Amsterdam (Cramersluis), sluisnr.111;4.834399935648048;52.37570000293664;HHRS Amstel, Gooi en Vecht
Westlandgrachtsluis (of Heemstedeschutsluis);4.841399935425103;52.35210000306331;Gemeente Amsterdam
Algemene Begraafplaatssluis;4.974999930981345;51.83730000601038;Provincie Zuid-Holland
Zorgvliedschutsluis;4.9028999349478095;52.336900002988294; 
Henriettesluis (Schutsluis Engelen);5.258899928493738;51.7298000060031;Gemeente s-Hertogenbosch
Middensluis IJmuiden;4.5969999376915105;52.46580000304531;RWS West-Nederland Noord
Krammersluizen;4.159499934749876;51.66150000911153;RWS Zee en Delta
Nijveensterkolk;6.576799931770933;53.17709999223554;RSCH Meerschap Paterswolde
Roskamsluis;4.819999938321506;52.70880000093394;Provincie Noord-Holland
Arembergerschutsluis;6.06359993021005;52.639899997555446;Provincie Overijssel
Beatrixsluis;5.188999933600845;52.38390000187914;Gemeente Almere
sluis Makkum;5.402399937900244;53.054599997008275;Gemeente Sudwest Fryslan
Stadionschutsluis;4.855599935267352;52.34200000308372;Gemeente Amsterdam
Weesperpoortsluis;5.065299933914847;52.32810000258669;HHRS Amstel, Gooi en Vecht
Voorsluis Eefde;6.230799925193229;52.1597000003508;RWS Oost-Nederland
Braaksluis;4.895099938505166;52.78340000025216;Provincie Noord-Holland
